ZIP_CODE,POLICE_PRECINCT
10453,46
10457,48
10460,42
10458,48
10467,50
10468,52
10451,44
10452,44
10456,44
10454,40
10455,40
10459,41
10474,41
10463,50
10471,50
10466,47
10469,49
10470,47
10475,45
10461,49
10462,49
10464,45
10465,45
10472,43
10473,43
11212,73
11213,77
11216,79
11233,81
11238,77
11209,68
11214,62
11228,68
11204,62
11218,66
11219,66
11230,66
11234,63
11236,69
11239,75
11223,62
11224,60
11229,61
11235,61
11201,84
11205,88
11215,78
11217,84
11231,76
11203,67
11210,63
11225,71
11226,70
11207,75
11208,75
11211,94
11222,94
11220,72
11232,72
11206,90
11221,83
11237,90
10026,28
10027,26
10030,32
10037,25
10039,32
10001,10
10011,10
10018,10
10019,18
10020,18
10036,18
10029,23
10035,25
10010,13
10016,17
10017,17
10022,17
10012,1
10013,1
10014,6
10004,1
10005,1
10006,1
10007,1
10038,1
10280,1
10002,7
10003,9
10009,9
10021,19
10028,19
10044,114
10065,19
10075,19
10128,19
10023,20
10024,20
10025,24
10031,30
10032,33
10033,34
10034,34
10040,34
11361,111
11362,111
11363,111
11364,111
11354,109
11355,109
11356,109
11357,109
11358,109
11359,109
11360,109
11365,111
11366,107
11367,107
11412,113
11423,103
11432,107
11433,103
11434,113
11435,103
11436,113
11101,108
11102,114
11103,5
11104,108
11105,114
11106,114
11374,112
11375,112
11379,104
11385,104
11691,101
11692,100
11693,100
11694,100
11695,100
11697,100
11004,105
11005,105
11411,105
11413,105
11422,105
11426,105
11427,111
11428,105
11429,105
11414,106
11415,102
11416,102
11417,106
11418,102
11419,102
11420,106
11421,102
11368,110
11369,115
11370,114
11372,115
11373,110
11377,108
11378,104
10302,121
10303,121
10310,120
10306,122
10307,123
10308,122
10309,123
10312,123
10301,120
10304,120
10305,122
10314,121